iid,i_year,i_Action,i_Adventure,i_Animation,i_Children's,i_Comedy,i_Crime,i_Documentary ,i_Drama ,i_Fantasy ,i_Film-Noir ,i_Horror ,i_Musical ,i_Mystery ,i_Romance ,i_Sci-Fi ,i_Thriller ,i_War ,i_Western,i_Other,i_Actor,i_Director
81,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,162,79
82,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261,81
83,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,267,82
84,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,159,1118
85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,84
86,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,181,85
87,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,278,1118
88,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,178,87
89,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,252,88
90,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,287,89
91,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,291,90
92,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,108,34
93,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,298,1118
94,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300,92
95,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,94,93
96,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,306,95
97,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,310,96
98,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,181,97
99,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3556,99
100,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,321,79
101,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,324,104
102,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,114
103,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,255,104
104,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1118
105,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,338,117
106,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,340,118
107,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1118
108,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,120
109,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3556,1118
110,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,352,76
111,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,195,122
112,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,1118
113,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,362,124
114,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,125
115,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3556,1118
116,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,268,127
117,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,368,30
118,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105,128
119,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3556,1118
120,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,158,130
121,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,215,58
122,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,131
123,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,380,132
124,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,384,133
125,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,62
126,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,393,1118
127,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,245,135
128,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,398,27
129,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,401,1118
130,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,162,138
131,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,408,139
132,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,412,141
133,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,418,141
134,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,420,146
135,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3556,147
136,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,430,148
137,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433,1118
138,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,436,1118
139,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440,152
140,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,1118
141,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,449,154
142,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,442,152
143,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,163,155
144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,156
145,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,157
146,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,464,158
147,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,196,159
148,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,160
149,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,471,161
150,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,474,1118
151,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,478,1118
152,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,397,15
153,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1118
154,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,484,166
155,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,146,1118
156,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,62,2
157,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,255,54
158,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,496,1118
159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,340,169
160,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,501,170
161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,34
162,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,504,1118
163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,163,139
164,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,370,95
165,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,464,172
166,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,515,172
167,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,376,1118
168,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,484,9
169,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,523,125
170,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,51,174
171,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,529,175
172,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,252,1118
173,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,373,178
174,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,81
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,9
176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16,95
177,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3556,1118
178,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,505,179
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,547,147
180,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,390,135
181,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,252,1118
182,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,86,26
183,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16,88
184,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,558,181
185,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,562,182
186,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,338,183
187,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,86,135
188,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,569,147
189,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,1118
190,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,265,82
191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,575,184
192,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,26
193,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,370,185
194,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,259,186
195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,306,95
196,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,187
197,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,589,28
198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,592,56
199,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,596,188
200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,600,147
201,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,557,181
202,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,228,189
203,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,190
204,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,380,65
205,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,614,1118
206,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3556,1118
207,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,464,124
208,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,217,193
209,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,629,178
210,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,81
211,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,159,138
212,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,635,185
213,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,639,85
214,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3556,194
215,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,310,195
216,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,178,178
217,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,181,135
218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,26
219,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,173,196
220,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,655,1118
221,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,660,1118
222,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,662,1118
223,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,668,1118
224,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,672,1118
225,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,674,18
226,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,159
227,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,202
228,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,202
229,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,203
230,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,679,203
231,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,685,49
232,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,255,204
233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,77
234,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,81
235,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,600,49
236,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,262,1118
237,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,247,1118
238,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,369,79
239,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,338,195
240,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1118
241,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,635,211
242,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,1118
243,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
244,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,183,213
245,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,252,214
246,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,719,44
247,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1118
248,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,338,1118
249,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,732,1118
250,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,56
251,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,1118
252,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,254,81
253,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,737,219
254,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,306,32
255,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,740,220
256,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3556,1118
257,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,109,6
258,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,747,65
259,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,748,222
260,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,261,223
261,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,753,1118
262,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,1118
263,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,1118
264,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,47,227
265,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,261,156
266,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,228
267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3556,1118
268,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,719,44
269,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1118
270,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,587,1118
271,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,776,169
272,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,231
273,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,86,211
274,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,252,75
275,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,266,47
276,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,369,232
277,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,261,233
278,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,293,1118
279,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,792,1118
280,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,684,236
281,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,106,237
282,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,196,32
283,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,797,1118
284,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,310,239
285,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3556,240
286,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,75,241
287,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,1118
288,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,806,196
289,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,194
290,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,486,51
291,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,190
292,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,779,244
293,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,245,66
294,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110,63
295,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,204,1118
